# Codepoint	Character	Name	SVG file	CSS class
U+A5EA	ꗪ	1C	1C.svg	_1c-icon
U+EA28		1C, Alt	1C-Alt.svg	_1c-alt-icon
U+E9E8		3D Model	3D-Model.svg	model-icon
U+E900		3DS Max	3DS-Max.svg	maxscript-icon
U+EB73		4D	4D.svg	_4d-icon
U+EB79		A+	A+.svg	a-plus-icon
U+E92B		ABAP	ABAP.svg	abap-icon
U+EA4E		ABIF	ABIF.svg	abif-icon
U+237A	⍺	Acre	Acre.svg	acre-icon
U+E92E		ActionScript	ActionScript.svg	as-icon
U+E90B		Ada	Ada.svg	ada-icon
U+1D235	𝈵	Adobe	Adobe.svg	
U+EB5F		Adobe Acrobat	Adobe-Acrobat.svg	
U+E9F3		Adobe After Effects	Adobe-AfterEffects.svg	ae-icon
U+EB41		Adobe Animate	Adobe-Animate.svg	animate-icon
U+3373	㍳	Adobe Audition	Adobe-Audition.svg	
U+EB61		Adobe Bridge	Adobe-Bridge.svg	
U+EB62		Adobe Character Animator	Adobe-CharacterAnimator.svg	
U+EB5E		Adobe Creative Cloud	Adobe-CreativeCloud.svg	
U+EB63		Adobe Dimension	Adobe-Dimension.svg	
U+EB64		Adobe Dreamweaver	Adobe-Dreamweaver.svg	
U+EB43		Adobe Flash	Adobe-Flash.svg	
U+EB65		Adobe Fuse	Adobe-Fuse.svg	
U+E6B4		Adobe Illustrator	Adobe-Illustrator.svg	ai-icon
U+1F18B	🆋	Adobe InCopy	Adobe-InCopy.svg	
U+E9F4		Adobe InDesign	Adobe-InDesign.svg	indesign-icon
U+EB67		Adobe Lightroom	Adobe-Lightroom.svg	
U+EB68		Adobe Media Encoder	Adobe-MediaEncoder.svg	
U+E6B8		Adobe Photoshop	Adobe-Photoshop.svg	psd-icon
U+EB69		Adobe Prelude	Adobe-Prelude.svg	
U+E9F5		Adobe Premiere	Adobe-Premiere.svg	premiere-icon
U+EB6A		Adobe Premiere Rush	Adobe-PremiereRush.svg	
U+EB6B		Adobe XD	Adobe-XD.svg	
U+00E6	æ	Aeternity	Aeternity.svg	
U+EB2C		AffectScript	AffectScript.svg	affectscript-icon
U+EABB		AffinityDesigner	AffinityDesigner.svg	affinity-icon
U+1315A	𓅚	Agda	Agda.svg	agda-icon
U+EA0E		Akka	Akka.svg	
U+EB27		Alacritty	Alacritty.svg	alacritty-icon
U+EB28		Alacritty, Alt	Alacritty-Alt.svg	alacritty-alt-icon
U+29CB	⧋	Alex	Alex.svg	alex-icon
U+E935		Alloy	Alloy.svg	alloy-icon
U+E9FF		Alpine Linux	Alpine-Linux.svg	alpine-icon
U+EB59		AMD	AMD.svg	
U+26BD	⚽	AmigaOS	AmigaOS.svg	
U+E94E		AMPL	AMPL.svg	ampl-icon
U+EB32		AmuseWiki	AmuseWiki.svg	amusewiki-icon
U+EB7D		Analytica	Analytica.svg	analytica-icon
U+EA5B		AngelScript	AngelScript.svg	angelscript-icon
U+EAED		AnimeStudio	AnimeStudio.svg	animestudio-icon
U+24B6	Ⓐ	Ansible	Ansible.svg	ansible-icon
U+0061	a	Ansible, Alt	Ansible-Alt.svg	
U+E92C		ANTLR	ANTLR.svg	antlr-icon
U+2591	░	Antwar	Antwar.svg	antwar-icon
U+EACF		AnyScript	AnyScript.svg	anyscript-icon
U+E93E		Apache ANT	Apache-ANT.svg	ant-icon
U+E92D		API Blueprint	API-Blueprint.svg	api-icon
U+EB99		API Extractor	APIExtractor.svg	apiextractor-icon
U+234B	⍋	APL	APL.svg	apl-icon
U+E909		APL, Old	APL-Old.svg	
U+1F110	🄐	Apollo	Apollo.svg	apollo-icon
U+EB54		Apollo Guidance Computer (AGC)	AGC.svg	
U+E925		Apple	Apple.svg	apple-icon
U+E923		Appveyor	Appveyor.svg	appveyor-icon
U+E92F		Arc	Arc.svg	arc-icon
U+0041	A	Arch Linux	Arch-Linux.svg	
U+E930		Arduino	Arduino.svg	arduino-icon
U+EB5B		ARM	ARM.svg	
U+24D0	ⓐ	Art Text	ArtText.svg	arttext-icon
U+1D5EE	𝗮	Art Text 4	ArtText4.svg	arttext4-icon
U+E918		AsciiDoc	AsciiDoc.svg	asciidoc-icon
U+EAC7		Asciidoctor	Asciidoctor.svg	asciidoctor-icon
U+EB53		Assembly, AGC	Assembly-AGC.svg	asm-agc-icon
U+EB52		Assembly, AMD	Assembly-AMD.svg	
U+EB51		Assembly, ARM	Assembly-ARM.svg	asm-arm-icon
U+EB50		Assembly, AT&T	Assembly-ATT.svg	
U+EB6C		Assembly, AVR	Assembly-AVR.svg	asm-avr-icon
U+EB4F		Assembly, Generic	Assembly-Generic.svg	asm-icon
U+EB60		Assembly, Hitachi	Assembly-Hitachi.svg	asm-hitachi-icon
U+EB4E		Assembly, Intel	Assembly-Intel.svg	asm-intel-icon
U+EB4D		Assembly, Motorola	Assembly-Motorola.svg	asm-m68k-icon
U+EB4C		Assembly, PPC	Assembly-PowerPC.svg	
U+EB4B		Assembly, RISC-V	Assembly-RISCV.svg	
U+EB4A		Assembly, SPARC	Assembly-SPARC.svg	
U+EB48		Assembly, VAX	Assembly-VAX.svg	asm-vax-icon
U+EB47		Assembly, Zilog	Assembly-Zilog.svg	asm-zilog-icon
U+EAE5		Asymptote	Asymptote.svg	asymptote-icon
U+EAE3		Asymptote, Alt	Asymptote-Alt.svg	
U+2649	♉	Atoum	Atoum.svg	atoum-icon
U+E934		ATS	ATS.svg	ats-icon
U+EB55		AT&T	ATT.svg	
